"","state_lower","zipcode","county"
"599","massachusetts","02563","Barnstable"
"600","massachusetts","02564","Nantucket"
"601","massachusetts","02568","Dukes"
"602","massachusetts","02571","Plymouth"
"603","massachusetts","02575","Dukes"
"604","massachusetts","02576","Plymouth"
"605","massachusetts","02584","Nantucket"
"606","massachusetts","02601","Barnstable"
"607","massachusetts","02630","Barnstable"
"608","massachusetts","02631","Barnstable"
"609","massachusetts","02632","Barnstable"
"610","massachusetts","02633","Barnstable"
"611","massachusetts","02635","Barnstable"
"612","massachusetts","02637","Barnstable"
"613","massachusetts","02638","Barnstable"
"614","massachusetts","02639","Barnstable"
"615","massachusetts","02641","Barnstable"
"616","massachusetts","02642","Barnstable"
"617","massachusetts","02643","Barnstable"
"618","massachusetts","02644","Barnstable"
"619","massachusetts","02645","Barnstable"
"620","massachusetts","02646","Barnstable"
"621","massachusetts","02647","Barnstable"
"622","massachusetts","02648","Barnstable"
"623","massachusetts","02649","Barnstable"
"624","massachusetts","02650","Barnstable"
"625","massachusetts","02652","Barnstable"
"626","massachusetts","02653","Barnstable"
"627","massachusetts","02655","Barnstable"
"628","massachusetts","02657","Barnstable"
"629","massachusetts","02659","Barnstable"
"630","massachusetts","02660","Barnstable"
"631","massachusetts","02663","Barnstable"
"632","massachusetts","02664","Barnstable"
"633","massachusetts","02666","Barnstable"
"634","massachusetts","02667","Barnstable"
"635","massachusetts","02668","Barnstable"
"636","massachusetts","02670","Barnstable"
"637","massachusetts","02671","Barnstable"
"638","massachusetts","02672","Barnstable"
"639","massachusetts","02673","Barnstable"
"640","massachusetts","02675","Barnstable"
"641","massachusetts","02702","Bristol"
"642","massachusetts","02703","Bristol"
"643","massachusetts","02713","Dukes"
"644","massachusetts","02715","Bristol"
"645","massachusetts","02717","Bristol"
"646","massachusetts","02718","Bristol"
"647","massachusetts","02719","Bristol"
"648","massachusetts","02720","Bristol"
"649","massachusetts","02721","Bristol"
"650","massachusetts","02723","Bristol"
"651","massachusetts","02724","Bristol"
"652","massachusetts","02725","Bristol"
"653","massachusetts","02726","Bristol"
"654","massachusetts","02738","Plymouth"
"655","massachusetts","02739","Plymouth"
"656","massachusetts","02740","Bristol"
"657","massachusetts","02743","Bristol"
"658","massachusetts","02744","Bristol"
"659","massachusetts","02745","Bristol"
"660","massachusetts","02746","Bristol"
"661","massachusetts","02747","Bristol"
"662","massachusetts","02748","Bristol"
"663","massachusetts","02760","Bristol"
"664","massachusetts","02762","Norfolk"
"665","massachusetts","02763","Bristol"
"666","massachusetts","02764","Bristol"
"667","massachusetts","02766","Bristol"
"668","massachusetts","02767","Bristol"
"669","massachusetts","02769","Bristol"
"670","massachusetts","02770","Plymouth"
"671","massachusetts","02771","Bristol"
"672","massachusetts","02777","Bristol"
"673","massachusetts","02779","Bristol"
"674","massachusetts","02780","Bristol"
"675","massachusetts","02790","Bristol"
"676","massachusetts","02791","Bristol"
"677","rhode island","02802","Providence"
"678","rhode island","02804","Washington"
"679","rhode island","02806","Bristol"
"680","rhode island","02807","Washington"
"681","rhode island","02808","Washington"
